dh,dd,hh,cnt
2018020818,20180208,18,1776
2018020819,20180208,19,1665
2018020820,20180208,20,1531
2018020821,20180208,21,1279
2018020822,20180208,22,965
2018020823,20180208,23,539
2018020900,20180209,00,425
2018020901,20180209,01,532
2018020902,20180209,02,615
2018020903,20180209,03,682
2018020904,20180209,04,753
2018020905,20180209,05,822
2018020906,20180209,06,991
2018020907,20180209,07,1390
2018020908,20180209,08,1756
2018020909,20180209,09,2061
2018020910,20180209,10,2235
2018020911,20180209,11,2358
2018020912,20180209,12,2419
2018020913,20180209,13,2431
2018020914,20180209,14,2410
2018020915,20180209,15,2370
2018020916,20180209,16,2264
2018020917,20180209,17,2022
2018020918,20180209,18,1873
2018020919,20180209,19,1751
2018020920,20180209,20,1619
2018020921,20180209,21,1405
2018020922,20180209,22,1032
2018020923,20180209,23,583
2018021000,20180210,00,500
2018021001,20180210,01,572
2018021002,20180210,02,662
2018021003,20180210,03,730
2018021004,20180210,04,777
2018021005,20180210,05,866
2018021006,20180210,06,992
2018021007,20180210,07,1437
2018021008,20180210,08,1798
2018021009,20180210,09,2165
2018021010,20180210,10,2365
2018021011,20180210,11,2424
2018021012,20180210,12,2506
2018021013,20180210,13,2496
2018021014,20180210,14,2439
2018021015,20180210,15,2424
2018021016,20180210,16,2245
2018021017,20180210,17,1965
2018021018,20180210,18,1770
2018021019,20180210,19,1637
2018021020,20180210,20,1482
2018021021,20180210,21,1300
2018021022,20180210,22,999
2018021023,20180210,23,525
2018021100,20180211,00,441
2018021101,20180211,01,536
2018021102,20180211,02,619
2018021103,20180211,03,677
2018021104,20180211,04,744
2018021105,20180211,05,808
2018021106,20180211,06,941
2018021107,20180211,07,1327
2018021108,20180211,08,1653
2018021109,20180211,09,1908
2018021110,20180211,10,2083
2018021111,20180211,11,2182
2018021112,20180211,12,2245
2018021113,20180211,13,2222
2018021114,20180211,14,2224
2018021115,20180211,15,2157
2018021116,20180211,16,2057
2018021117,20180211,17,1883
2018021118,20180211,18,1757
2018021119,20180211,19,1654
2018021120,20180211,20,1450
2018021121,20180211,21,1262
2018021122,20180211,22,925
2018021123,20180211,23,497
2018021200,20180212,00,430
2018021201,20180212,01,505
2018021202,20180212,02,566
2018021203,20180212,03,619
2018021204,20180212,04,674
2018021205,20180212,05,742
2018021206,20180212,06,882
2018021207,20180212,07,1252
2018021208,20180212,08,1584
2018021209,20180212,09,1787
2018021210,20180212,10,1957
2018021211,20180212,11,2074
2018021212,20180212,12,2180
